dataset,window,dom_class,method,k_hat
Salinas,Salinas:18,15,decluster_dip,1
Salinas,Salinas:18,15,ess_dip,1
Salinas,Salinas:18,15,ess_dip_detrend,1
Salinas,Salinas:18,15,ess_dip_adaptive,1
Salinas,Salinas:18,15,ess_dip_local,1
Salinas,Salinas:9,15,classical_gap,1
Salinas,Salinas:9,15,silhouette,2
Salinas,Salinas:9,15,calinski_harabasz,2
Salinas,Salinas:9,15,davies_bouldin,4
Salinas,Salinas:9,15,decluster_dip,1
Salinas,Salinas:9,15,ess_dip,1
Salinas,Salinas:9,15,ess_dip_detrend,1
Salinas,Salinas:9,15,ess_dip_adaptive,1
Salinas,Salinas:9,15,ess_dip_local,1
Salinas,Salinas:11,15,classical_gap,1
Salinas,Salinas:11,15,silhouette,2
Salinas,Salinas:11,15,calinski_harabasz,2
Salinas,Salinas:11,15,davies_bouldin,2
Salinas,Salinas:11,15,decluster_dip,1
Salinas,Salinas:11,15,ess_dip,1
Salinas,Salinas:11,15,ess_dip_detrend,1
Salinas,Salinas:11,15,ess_dip_adaptive,1
Salinas,Salinas:11,15,ess_dip_local,1
Salinas,Salinas:12,15,classical_gap,2
Salinas,Salinas:12,15,silhouette,2
Salinas,Salinas:12,15,calinski_harabasz,2
Salinas,Salinas:12,15,davies_bouldin,3
Salinas,Salinas:12,15,decluster_dip,1
Salinas,Salinas:12,15,ess_dip,1
Salinas,Salinas:12,15,ess_dip_detrend,1
Salinas,Salinas:12,15,ess_dip_adaptive,1
Salinas,Salinas:12,15,ess_dip_local,1
Salinas,Salinas:17,7,classical_gap,4
Salinas,Salinas:17,7,silhouette,2
Salinas,Salinas:17,7,calinski_harabasz,2
Salinas,Salinas:17,7,davies_bouldin,2
Salinas,Salinas:17,7,decluster_dip,1
Salinas,Salinas:17,7,ess_dip,1
Salinas,Salinas:17,7,ess_dip_detrend,1
Salinas,Salinas:17,7,ess_dip_adaptive,1
Salinas,Salinas:17,7,ess_dip_local,1
Salinas,Salinas:14,15,classical_gap,1
Salinas,Salinas:14,15,silhouette,2
Salinas,Salinas:14,15,calinski_harabasz,2
Salinas,Salinas:14,15,davies_bouldin,3
Salinas,Salinas:14,15,decluster_dip,1
Salinas,Salinas:14,15,ess_dip,1
Salinas,Salinas:14,15,ess_dip_detrend,1
Salinas,Salinas:14,15,ess_dip_adaptive,1
Salinas,Salinas:14,15,ess_dip_local,1
Salinas,Salinas:13,15,classical_gap,1
Salinas,Salinas:13,15,silhouette,2
Salinas,Salinas:13,15,calinski_harabasz,2
Salinas,Salinas:13,15,davies_bouldin,6
Salinas,Salinas:13,15,decluster_dip,1
Salinas,Salinas:13,15,ess_dip,1
Salinas,Salinas:13,15,ess_dip_detrend,1
Salinas,Salinas:13,15,ess_dip_adaptive,1
Salinas,Salinas:13,15,ess_dip_local,1
Salinas,Salinas:22,15,classical_gap,1
Salinas,Salinas:22,15,silhouette,2
Salinas,Salinas:22,15,calinski_harabasz,2
Salinas,Salinas:22,15,davies_bouldin,2
Salinas,Salinas:22,15,decluster_dip,1
Salinas,Salinas:22,15,ess_dip,1
Salinas,Salinas:22,15,ess_dip_detrend,1
Salinas,Salinas:22,15,ess_dip_adaptive,1
Salinas,Salinas:22,15,ess_dip_local,1
Salinas,Salinas:20,15,classical_gap,2
Salinas,Salinas:20,15,silhouette,2
Salinas,Salinas:20,15,calinski_harabasz,3
Salinas,Salinas:20,15,davies_bouldin,3
Salinas,Salinas:20,15,decluster_dip,1
Salinas,Salinas:20,15,ess_dip,1
Salinas,Salinas:20,15,ess_dip_detrend,1
Salinas,Salinas:20,15,ess_dip_adaptive,1
Salinas,Salinas:20,15,ess_dip_local,1
Salinas,Salinas:16,6,classical_gap,5
Salinas,Salinas:16,6,silhouette,2
Salinas,Salinas:16,6,calinski_harabasz,2
Salinas,Salinas:16,6,davies_bouldin,2
Salinas,Salinas:16,6,decluster_dip,1
Salinas,Salinas:16,6,ess_dip,1
Salinas,Salinas:16,6,ess_dip_detrend,1
Salinas,Salinas:16,6,ess_dip_adaptive,1
Salinas,Salinas:16,6,ess_dip_local,1
Salinas,Salinas:23,15,classical_gap,1
Salinas,Salinas:23,15,silhouette,2
Salinas,Salinas:23,15,calinski_harabasz,2
Salinas,Salinas:23,15,davies_bouldin,5
Salinas,Salinas:23,15,decluster_dip,1
Salinas,Salinas:23,15,ess_dip,1
Salinas,Salinas:23,15,ess_dip_detrend,1
Salinas,Salinas:23,15,ess_dip_adaptive,1
Salinas,Salinas:23,15,ess_dip_local,1
Salinas,Salinas:24,15,classical_gap,2
Salinas,Salinas:24,15,silhouette,2
Salinas,Salinas:24,15,calinski_harabasz,2
Salinas,Salinas:24,15,davies_bouldin,4
Salinas,Salinas:24,15,decluster_dip,1
Salinas,Salinas:24,15,ess_dip,1
Salinas,Salinas:24,15,ess_dip_detrend,1
Salinas,Salinas:24,15,ess_dip_adaptive,1
Salinas,Salinas:24,15,ess_dip_local,1
Salinas,Salinas:25,6,classical_gap,2
Salinas,Salinas:25,6,silhouette,2
Salinas,Salinas:25,6,calinski_harabasz,2
Salinas,Salinas:25,6,davies_bouldin,2
Salinas,Salinas:25,6,decluster_dip,1
Salinas,Salinas:25,6,ess_dip,1
Salinas,Salinas:25,6,ess_dip_detrend,1
Salinas,Salinas:25,6,ess_dip_adaptive,1
Salinas,Salinas:25,6,ess_dip_local,1
Salinas,Salinas:28,15,classical_gap,1
Salinas,Salinas:28,15,silhouette,3
Salinas,Salinas:28,15,calinski_harabasz,3
Salinas,Salinas:28,15,davies_bouldin,3
Salinas,Salinas:28,15,decluster_dip,1
Salinas,Salinas:28,15,ess_dip,1
Salinas,Salinas:28,15,ess_dip_detrend,1
Salinas,Salinas:28,15,ess_dip_adaptive,1
Salinas,Salinas:28,15,ess_dip_local,1
Salinas,Salinas:19,15,classical_gap,1
Salinas,Salinas:19,15,silhouette,2
Salinas,Salinas:19,15,calinski_harabasz,3
Salinas,Salinas:19,15,davies_bouldin,4
Salinas,Salinas:19,15,decluster_dip,1
Salinas,Salinas:19,15,ess_dip,1
Salinas,Salinas:19,15,ess_dip_detrend,1
Salinas,Salinas:19,15,ess_dip_adaptive,1
Salinas,Salinas:19,15,ess_dip_local,1
Salinas,Salinas:21,15,classical_gap,2
Salinas,Salinas:21,15,silhouette,2
Salinas,Salinas:21,15,calinski_harabasz,2
Salinas,Salinas:21,15,davies_bouldin,2
Salinas,Salinas:21,15,decluster_dip,1
Salinas,Salinas:21,15,ess_dip,1
Salinas,Salinas:21,15,ess_dip_detrend,1
Salinas,Salinas:21,15,ess_dip_adaptive,1
Salinas,Salinas:21,15,ess_dip_local,1
Salinas,Salinas:30,15,classical_gap,1
Salinas,Salinas:30,15,silhouette,2
Salinas,Salinas:30,15,calinski_harabasz,2
Salinas,Salinas:30,15,davies_bouldin,2
Salinas,Salinas:30,15,decluster_dip,1
Salinas,Salinas:30,15,ess_dip,1
Salinas,Salinas:30,15,ess_dip_detrend,1
Salinas,Salinas:30,15,ess_dip_adaptive,1
Salinas,Salinas:30,15,ess_dip_local,1
Salinas,Salinas:31,15,classical_gap,1
Salinas,Salinas:31,15,silhouette,2
Salinas,Salinas:31,15,calinski_harabasz,2
Salinas,Salinas:31,15,davies_bouldin,6
Salinas,Salinas:31,15,decluster_dip,1
Salinas,Salinas:31,15,ess_dip,1
Salinas,Salinas:31,15,ess_dip_detrend,1
Salinas,Salinas:31,15,ess_dip_adaptive,1
Salinas,Salinas:31,15,ess_dip_local,1
Salinas,Salinas:27,7,classical_gap,5
Salinas,Salinas:27,7,silhouette,5
Salinas,Salinas:27,7,calinski_harabasz,2
Salinas,Salinas:27,7,davies_bouldin,4
Salinas,Salinas:27,7,decluster_dip,1
Salinas,Salinas:27,7,ess_dip,2
Salinas,Salinas:27,7,ess_dip_detrend,2
Salinas,Salinas:27,7,ess_dip_adaptive,2
Salinas,Salinas:27,7,ess_dip_local,2
