row,col,panel,label
9,35,truth,c2
9,36,truth,c2
9,37,truth,c2
9,38,truth,c1
9,39,truth,c1
9,40,truth,c1
9,41,truth,c1
9,42,truth,c1
9,43,truth,c1
9,44,truth,c1
9,45,truth,c1
9,46,truth,c1
9,47,truth,c1
9,48,truth,c1
9,49,truth,c1
9,50,truth,c1
9,51,truth,c2
9,52,truth,c2
9,53,truth,c2
9,54,truth,c2
9,55,truth,c2
9,56,truth,c2
9,57,truth,c2
9,58,truth,c2
9,59,truth,c2
9,60,truth,c2
9,61,truth,c2
9,62,truth,c2
9,63,truth,c1
9,64,truth,c1
9,65,truth,c1
9,66,truth,c1
9,67,truth,c1
9,68,truth,c1
9,69,truth,c1
9,70,truth,c1
9,71,truth,c1
9,72,truth,c1
9,73,truth,c1
9,74,truth,c1
9,75,truth,c1
9,76,truth,c1
9,77,truth,c1
9,78,truth,c1
9,79,truth,c1
9,80,truth,c1
9,81,truth,c1
9,82,truth,c1
9,83,truth,c1
9,84,truth,c1
9,85,truth,c1
9,86,truth,c0
9,87,truth,c0
9,88,truth,c0
9,89,truth,c0
9,90,truth,c0
9,91,truth,c0
9,92,truth,c0
9,93,truth,c0
9,94,truth,c0
9,95,truth,c0
10,0,truth,c0
10,1,truth,c0
10,2,truth,c0
10,3,truth,c0
10,4,truth,c0
10,5,truth,c0
10,6,truth,c0
10,7,truth,c0
10,8,truth,c0
10,9,truth,c0
10,10,truth,c0
10,11,truth,c0
10,12,truth,c0
10,13,truth,c0
10,14,truth,c0
10,15,truth,c0
10,16,truth,c0
10,17,truth,c0
10,18,truth,c0
10,19,truth,c0
10,20,truth,c0
10,21,truth,c0
10,22,truth,c0
10,23,truth,c0
10,24,truth,c0
10,25,truth,c0
10,26,truth,c0
10,27,truth,c0
10,28,truth,c0
10,29,truth,c0
10,30,truth,c0
10,31,truth,c0
10,32,truth,c2
10,33,truth,c2
10,34,truth,c2
10,35,truth,c2
10,36,truth,c2
10,37,truth,c2
10,38,truth,c2
10,39,truth,c1
10,40,truth,c1
10,41,truth,c1
10,42,truth,c1
10,43,truth,c1
10,44,truth,c1
10,45,truth,c1
10,46,truth,c1
10,47,truth,c1
10,48,truth,c1
10,49,truth,c1
10,50,truth,c1
10,51,truth,c2
10,52,truth,c2
10,53,truth,c2
10,54,truth,c2
10,55,truth,c2
10,56,truth,c2
10,57,truth,c2
10,58,truth,c2
10,59,truth,c2
10,60,truth,c2
10,61,truth,c2
10,62,truth,c2
10,63,truth,c0
10,64,truth,c1
10,65,truth,c1
10,66,truth,c1
10,67,truth,c1
10,68,truth,c1
10,69,truth,c1
10,70,truth,c1
10,71,truth,c1
10,72,truth,c1
10,73,truth,c1
10,74,truth,c1
10,75,truth,c1
10,76,truth,c1
10,77,truth,c1
10,78,truth,c1
10,79,truth,c1
10,80,truth,c1
10,81,truth,c1
10,82,truth,c1
10,83,truth,c1
10,84,truth,c1
10,85,truth,c1
10,86,truth,c0
10,87,truth,c0
10,88,truth,c0
10,89,truth,c0
10,90,truth,c0
10,91,truth,c0
10,92,truth,c0
10,93,truth,c0
10,94,truth,c0
10,95,truth,c0
11,0,truth,c0
11,1,truth,c0
11,2,truth,c0
11,3,truth,c0
11,4,truth,c0
11,5,truth,c0
11,6,truth,c0
11,7,truth,c0
11,8,truth,c0
11,9,truth,c0
11,10,truth,c0
11,11,truth,c0
11,12,truth,c0
11,13,truth,c0
11,14,truth,c0
11,15,truth,c0
11,16,truth,c0
11,17,truth,c0
11,18,truth,c0
11,19,truth,c0
11,20,truth,c0
11,21,truth,c0
11,22,truth,c0
11,23,truth,c0
11,24,truth,c0
11,25,truth,c0
11,26,truth,c0
11,27,truth,c0
11,28,truth,c0
11,29,truth,c0
11,30,truth,c0
11,31,truth,c2
11,32,truth,c2
11,33,truth,c2
11,34,truth,c2
11,35,truth,c2
11,36,truth,c2
11,37,truth,c2
11,38,truth,c2
11,39,truth,c1
11,40,truth,c1
11,41,truth,c1
11,42,truth,c1
11,43,truth,c1
