kind,k_true,sep,field_sigma,trend_amp,noise_sigma,cell_idx,realiz,truth_k,method,k_hat
null,,,9.0,,,2,2,1,ess_dip,1
null,,,9.0,,,2,2,1,ess_dip_detrend,1
null,,,9.0,,,2,2,1,ess_dip_adaptive,1
null,,,9.0,,,2,2,1,ess_dip_local,1
null,,,9.0,,,2,3,1,classical_gap,7
null,,,9.0,,,2,3,1,silhouette,8
null,,,9.0,,,2,3,1,calinski_harabasz,2
null,,,9.0,,,2,3,1,davies_bouldin,8
null,,,9.0,,,2,3,1,decluster_dip,1
null,,,9.0,,,2,3,1,ess_dip,1
null,,,9.0,,,2,3,1,ess_dip_detrend,1
null,,,9.0,,,2,3,1,ess_dip_adaptive,1
null,,,9.0,,,2,3,1,ess_dip_local,1
null,,,9.0,,,2,0,1,classical_gap,3
null,,,9.0,,,2,0,1,silhouette,6
null,,,9.0,,,2,0,1,calinski_harabasz,2
null,,,9.0,,,2,0,1,davies_bouldin,5
null,,,9.0,,,2,0,1,decluster_dip,1
null,,,9.0,,,2,0,1,ess_dip,1
null,,,9.0,,,2,0,1,ess_dip_detrend,1
null,,,9.0,,,2,0,1,ess_dip_adaptive,1
null,,,9.0,,,2,0,1,ess_dip_local,1
null,,,9.0,,,2,7,1,classical_gap,8
null,,,9.0,,,2,7,1,silhouette,7
null,,,9.0,,,2,7,1,calinski_harabasz,3
null,,,9.0,,,2,7,1,davies_bouldin,8
null,,,9.0,,,2,7,1,decluster_dip,1
null,,,9.0,,,2,7,1,ess_dip,1
null,,,9.0,,,2,7,1,ess_dip_detrend,1
null,,,9.0,,,2,7,1,ess_dip_adaptive,1
null,,,9.0,,,2,7,1,ess_dip_local,1
null,,,9.0,,,2,4,1,classical_gap,8
null,,,9.0,,,2,4,1,silhouette,6
null,,,9.0,,,2,4,1,calinski_harabasz,6
null,,,9.0,,,2,4,1,davies_bouldin,7
null,,,9.0,,,2,4,1,decluster_dip,1
null,,,9.0,,,2,4,1,ess_dip,1
null,,,9.0,,,2,4,1,ess_dip_detrend,1
null,,,9.0,,,2,4,1,ess_dip_adaptive,1
null,,,9.0,,,2,4,1,ess_dip_local,1
null,,,9.0,,,2,10,1,classical_gap,4
null,,,9.0,,,2,10,1,silhouette,6
null,,,9.0,,,2,10,1,calinski_harabasz,2
null,,,9.0,,,2,10,1,davies_bouldin,8
null,,,9.0,,,2,10,1,decluster_dip,1
null,,,9.0,,,2,10,1,ess_dip,1
null,,,9.0,,,2,10,1,ess_dip_detrend,1
null,,,9.0,,,2,10,1,ess_dip_adaptive,1
null,,,9.0,,,2,10,1,ess_dip_local,1
null,,,9.0,,,2,6,1,classical_gap,4
null,,,9.0,,,2,6,1,silhouette,7
null,,,9.0,,,2,6,1,calinski_harabasz,3
null,,,9.0,,,2,6,1,davies_bouldin,7
null,,,9.0,,,2,6,1,decluster_dip,1
null,,,9.0,,,2,6,1,ess_dip,1
null,,,9.0,,,2,6,1,ess_dip_detrend,1
null,,,9.0,,,2,6,1,ess_dip_adaptive,1
null,,,9.0,,,2,6,1,ess_dip_local,1
null,,,9.0,,,2,5,1,classical_gap,1
null,,,9.0,,,2,5,1,silhouette,8
null,,,9.0,,,2,5,1,calinski_harabasz,4
null,,,9.0,,,2,5,1,davies_bouldin,6
null,,,9.0,,,2,5,1,decluster_dip,1
null,,,9.0,,,2,5,1,ess_dip,1
null,,,9.0,,,2,5,1,ess_dip_detrend,1
null,,,9.0,,,2,5,1,ess_dip_adaptive,1
null,,,9.0,,,2,5,1,ess_dip_local,1
