kind,truth_k,method,k_hat
struct,4,SGS-Dip,7
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,4
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,8
struct,5,SGS-Dip,8
struct,5,SGS-Dip,4
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,6
struct,5,SGS-Dip,7
struct,5,SGS-Dip,7
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,4
struct,5,SGS-Dip,8
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,8
struct,5,SGS-Dip,6
struct,5,SGS-Dip,8
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,7
struct,5,SGS-Dip,8
struct,5,SGS-Dip,7
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,7
struct,5,SGS-Dip,7
struct,5,SGS-Dip,7
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,5
struct,5,SGS-Dip,7
struct,5,SGS-Dip,8
struct,5,SGS-Dip,7
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,8
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,7
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,7
struct,5,SGS-Dip,5
struct,5,SGS-Dip,7
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,5
struct,5,SGS-Dip,8
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,7
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,5
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,7
struct,5,SGS-Dip,6
struct,5,SGS-Dip,6
struct,5,SGS-Dip,7
mixed,3,SGS-Dip,3
struct,5,SGS-Dip,7
struct,5,SGS-Dip,8
mixed,3,SGS-Dip,4
struct,5,SGS-Dip,7
mixed,3,SGS-Dip,7
mixed,3,SGS-Dip,8
mixed,3,SGS-Dip,7
mixed,3,SGS-Dip,8
mixed,3,SGS-Dip,7
mixed,3,SGS-Dip,3
mixed,3,SGS-Dip,5
mixed,3,SGS-Dip,3
mixed,3,SGS-Dip,5
mixed,3,SGS-Dip,6
mixed,3,SGS-Dip,3
mixed,3,SGS-Dip,4
mixed,3,SGS-Dip,5
mixed,3,SGS-Dip,4
mixed,3,SGS-Dip,6
mixed,3,SGS-Dip,6
mixed,3,SGS-Dip,3
mixed,3,SGS-Dip,5
mixed,3,SGS-Dip,5
